ID	QuestionBody	Sentence	targetMovie	targetContext	targetSearch	targetSocial	segmentedSentence	hedging	opinionEmotion	absoluteRelative	flaggedContent	notes	threadURL	wikipediaURL	imdbURL
558-1	"At some point the the 90’s I saw a film on tv (probably HBO) that was set in the 1700’s. I don’t remember much, but I was just thinking about it and it’s bothering me not knowing now. I remember there was a decent amount of sex/sexual references. It’s not your typical pride and prejudiced, sense and sensibility type period piece. I’m pretty sure there were quite a few well known actors in it as well, I just can’t seem to remember any of them. There was a point in the film where there was some sort of scheme for this one man to sleep with a young girl and take her virginity. That’s all I really remember. Any ideas?"	At some point the the 90’s I saw a film on tv (probably HBO) that was set in the 1700’s.	category // timeframeSingular	contextTemporal // contextPhysicalMedium				hedgingConfident	none	absolute			https://irememberthismovie.com/18th-century-period-piece/	https://en.wikipedia.org/wiki/Dangerous_Liaisons	
558-2	"At some point the the 90’s I saw a film on tv (probably HBO) that was set in the 1700’s. I don’t remember much, but I was just thinking about it and it’s bothering me not knowing now. I remember there was a decent amount of sex/sexual references. It’s not your typical pride and prejudiced, sense and sensibility type period piece. I’m pretty sure there were quite a few well known actors in it as well, I just can’t seem to remember any of them. There was a point in the film where there was some sort of scheme for this one man to sleep with a young girl and take her virginity. That’s all I really remember. Any ideas?"	"I don’t remember much, but I was just thinking about it and it’s bothering me not knowing now."				TRUE							https://irememberthismovie.com/18th-century-period-piece/	https://en.wikipedia.org/wiki/Dangerous_Liaisons	
558-3	"At some point the the 90’s I saw a film on tv (probably HBO) that was set in the 1700’s. I don’t remember much, but I was just thinking about it and it’s bothering me not knowing now. I remember there was a decent amount of sex/sexual references. It’s not your typical pride and prejudiced, sense and sensibility type period piece. I’m pretty sure there were quite a few well known actors in it as well, I just can’t seem to remember any of them. There was a point in the film where there was some sort of scheme for this one man to sleep with a young girl and take her virginity. That’s all I really remember. Any ideas?"	I remember there was a decent amount of sex/sexual references.					TRUE						https://irememberthismovie.com/18th-century-period-piece/	https://en.wikipedia.org/wiki/Dangerous_Liaisons	
558-4	"At some point the the 90’s I saw a film on tv (probably HBO) that was set in the 1700’s. I don’t remember much, but I was just thinking about it and it’s bothering me not knowing now. I remember there was a decent amount of sex/sexual references. It’s not your typical pride and prejudiced, sense and sensibility type period piece. I’m pretty sure there were quite a few well known actors in it as well, I just can’t seem to remember any of them. There was a point in the film where there was some sort of scheme for this one man to sleep with a young girl and take her virginity. That’s all I really remember. Any ideas?"	"It’s not your typical pride and prejudiced, sense and sensibility type period piece."	genreTraditionalTone // negation					neutral	opinion	relative			https://irememberthismovie.com/18th-century-period-piece/	https://en.wikipedia.org/wiki/Dangerous_Liaisons	
558-5	"At some point the the 90’s I saw a film on tv (probably HBO) that was set in the 1700’s. I don’t remember much, but I was just thinking about it and it’s bothering me not knowing now. I remember there was a decent amount of sex/sexual references. It’s not your typical pride and prejudiced, sense and sensibility type period piece. I’m pretty sure there were quite a few well known actors in it as well, I just can’t seem to remember any of them. There was a point in the film where there was some sort of scheme for this one man to sleep with a young girl and take her virginity. That’s all I really remember. Any ideas?"	"I’m pretty sure there were quite a few well known actors in it as well, I just can’t seem to remember any of them."					TRUE						https://irememberthismovie.com/18th-century-period-piece/	https://en.wikipedia.org/wiki/Dangerous_Liaisons	
558-6	"At some point the the 90’s I saw a film on tv (probably HBO) that was set in the 1700’s. I don’t remember much, but I was just thinking about it and it’s bothering me not knowing now. I remember there was a decent amount of sex/sexual references. It’s not your typical pride and prejudiced, sense and sensibility type period piece. I’m pretty sure there were quite a few well known actors in it as well, I just can’t seem to remember any of them. There was a point in the film where there was some sort of scheme for this one man to sleep with a young girl and take her virginity. That’s all I really remember. Any ideas?"	There was a point in the film where there was some sort of scheme for this one man to sleep with a young girl and take her virginity.	category // scene // character					hedgingConfident	none	absolute			https://irememberthismovie.com/18th-century-period-piece/	https://en.wikipedia.org/wiki/Dangerous_Liaisons	
558-7	"At some point the the 90’s I saw a film on tv (probably HBO) that was set in the 1700’s. I don’t remember much, but I was just thinking about it and it’s bothering me not knowing now. I remember there was a decent amount of sex/sexual references. It’s not your typical pride and prejudiced, sense and sensibility type period piece. I’m pretty sure there were quite a few well known actors in it as well, I just can’t seem to remember any of them. There was a point in the film where there was some sort of scheme for this one man to sleep with a young girl and take her virginity. That’s all I really remember. Any ideas?"	That’s all I really remember.				TRUE							https://irememberthismovie.com/18th-century-period-piece/	https://en.wikipedia.org/wiki/Dangerous_Liaisons	
558-8	"At some point the the 90’s I saw a film on tv (probably HBO) that was set in the 1700’s. I don’t remember much, but I was just thinking about it and it’s bothering me not knowing now. I remember there was a decent amount of sex/sexual references. It’s not your typical pride and prejudiced, sense and sensibility type period piece. I’m pretty sure there were quite a few well known actors in it as well, I just can’t seem to remember any of them. There was a point in the film where there was some sort of scheme for this one man to sleep with a young girl and take her virginity. That’s all I really remember. Any ideas?"	Any ideas?				TRUE							https://irememberthismovie.com/18th-century-period-piece/	https://en.wikipedia.org/wiki/Dangerous_Liaisons	
1013-1	"so there is this movie based off the 1950s t0 60s(in color) it is during a war or a nuclear bomb time . its not to dramatic even thoe it during a warish time because its a comedy. there are these parents I think the mom is blonde they have a son. they protect him in an underground bombshelter that is just like the real world .one day he finally sees the present world (which looks like 1990-2012). key clues he meets a homeless guy that says he is jesus, a black women he calls a  negro, he has a love interest , he has this special cream from the 50s or 60s, at the end of the movie he buys his parents a house (I think he can afford it bcuz he found a way to make the ointment he had ) tnx guyz if you read this I really enjoy movies when I watch them they really make me feel like life doesn’t suck so your help is appreciated( I think I saw it on showtime or hbo in 2013 9r 14 but I don’t think it came out that late)  "	so there is this movie based off the 1950s t0 60s(in color) it is during a war or a nuclear bomb time .	category // timeframeSingular // productionVisual // object					hedgingConfident	none	absolute			https://irememberthismovie.com/1950ish-based-movie/	https://en.wikipedia.org/wiki/Blast_from_the_Past_(film)	
1013-2	"so there is this movie based off the 1950s t0 60s(in color) it is during a war or a nuclear bomb time . its not to dramatic even thoe it during a warish time because its a comedy. there are these parents I think the mom is blonde they have a son. they protect him in an underground bombshelter that is just like the real world .one day he finally sees the present world (which looks like 1990-2012). key clues he meets a homeless guy that says he is jesus, a black women he calls a  negro, he has a love interest , he has this special cream from the 50s or 60s, at the end of the movie he buys his parents a house (I think he can afford it bcuz he found a way to make the ointment he had ) tnx guyz if you read this I really enjoy movies when I watch them they really make me feel like life doesn’t suck so your help is appreciated( I think I saw it on showtime or hbo in 2013 9r 14 but I don’t think it came out that late)  "	its not to dramatic even thoe it during a warish time because its a comedy.	genreTraditionalTone // timeframeSingular					neutral	none	absolute			https://irememberthismovie.com/1950ish-based-movie/	https://en.wikipedia.org/wiki/Blast_from_the_Past_(film)	
1013-3	"so there is this movie based off the 1950s t0 60s(in color) it is during a war or a nuclear bomb time . its not to dramatic even thoe it during a warish time because its a comedy. there are these parents I think the mom is blonde they have a son. they protect him in an underground bombshelter that is just like the real world .one day he finally sees the present world (which looks like 1990-2012). key clues he meets a homeless guy that says he is jesus, a black women he calls a  negro, he has a love interest , he has this special cream from the 50s or 60s, at the end of the movie he buys his parents a house (I think he can afford it bcuz he found a way to make the ointment he had ) tnx guyz if you read this I really enjoy movies when I watch them they really make me feel like life doesn’t suck so your help is appreciated( I think I saw it on showtime or hbo in 2013 9r 14 but I don’t think it came out that late)  "	there are these parents I think the mom is blonde they have a son.	character					hedgingConfident	none	absolute			https://irememberthismovie.com/1950ish-based-movie/	https://en.wikipedia.org/wiki/Blast_from_the_Past_(film)	
1013-4	"so there is this movie based off the 1950s t0 60s(in color) it is during a war or a nuclear bomb time . its not to dramatic even thoe it during a warish time because its a comedy. there are these parents I think the mom is blonde they have a son. they protect him in an underground bombshelter that is just like the real world .one day he finally sees the present world (which looks like 1990-2012). key clues he meets a homeless guy that says he is jesus, a black women he calls a  negro, he has a love interest , he has this special cream from the 50s or 60s, at the end of the movie he buys his parents a house (I think he can afford it bcuz he found a way to make the ointment he had ) tnx guyz if you read this I really enjoy movies when I watch them they really make me feel like life doesn’t suck so your help is appreciated( I think I saw it on showtime or hbo in 2013 9r 14 but I don’t think it came out that late)  "	they protect him in an underground bombshelter that is just like the real world .	plot // character // locationType					neutral	none	absolute			https://irememberthismovie.com/1950ish-based-movie/	https://en.wikipedia.org/wiki/Blast_from_the_Past_(film)	
1013-5	"so there is this movie based off the 1950s t0 60s(in color) it is during a war or a nuclear bomb time . its not to dramatic even thoe it during a warish time because its a comedy. there are these parents I think the mom is blonde they have a son. they protect him in an underground bombshelter that is just like the real world .one day he finally sees the present world (which looks like 1990-2012). key clues he meets a homeless guy that says he is jesus, a black women he calls a  negro, he has a love interest , he has this special cream from the 50s or 60s, at the end of the movie he buys his parents a house (I think he can afford it bcuz he found a way to make the ointment he had ) tnx guyz if you read this I really enjoy movies when I watch them they really make me feel like life doesn’t suck so your help is appreciated( I think I saw it on showtime or hbo in 2013 9r 14 but I don’t think it came out that late)  "	one day he finally sees the present world (which looks like 1990-2012).	scene // timeframePlural					hedgingConfident	none	absolute			https://irememberthismovie.com/1950ish-based-movie/	https://en.wikipedia.org/wiki/Blast_from_the_Past_(film)	
1013-6	"so there is this movie based off the 1950s t0 60s(in color) it is during a war or a nuclear bomb time . its not to dramatic even thoe it during a warish time because its a comedy. there are these parents I think the mom is blonde they have a son. they protect him in an underground bombshelter that is just like the real world .one day he finally sees the present world (which looks like 1990-2012). key clues he meets a homeless guy that says he is jesus, a black women he calls a  negro, he has a love interest , he has this special cream from the 50s or 60s, at the end of the movie he buys his parents a house (I think he can afford it bcuz he found a way to make the ointment he had ) tnx guyz if you read this I really enjoy movies when I watch them they really make me feel like life doesn’t suck so your help is appreciated( I think I saw it on showtime or hbo in 2013 9r 14 but I don’t think it came out that late)  "	"key clues he meets a homeless guy that says he is jesus, a black women he calls a  negro, he has a love interest , he has this special cream from the 50s or 60s, at the end of the movie he buys his parents a house (I think he can afford it bcuz he found a way to make the ointment he had ) tnx guyz if you read this I really enjoy movies when I watch them they really make me feel like life doesn’t suck so your help is appreciated( I think I saw it on showtime or hbo in 2013 9r 14 but I don’t think it came out that late)"	plot // scene // character // personFictional // category // object	contextTemporal // contextPhysicalMedium				hedgingConfident	none	absolute			https://irememberthismovie.com/1950ish-based-movie/	https://en.wikipedia.org/wiki/Blast_from_the_Past_(film)	
990-1	"I am looking for a 1940s-1950s black and white movie that I have seen on TV a long time ago (15-20 years ago). I think it was a dark comedy, with an opening scene featuring two women hitchhicking; one of them lifts her skirts and makes a car crash. They reach a mansion (which was about to be inherited by one of them), and spend the night. One of the women gets killed (the one inheriting the mansion was supposed to get killed, but because they changed rooms, the other one gets murdered). The ghost of the dead woman remains to haunt the house. A clumsy detective appears to solve the crime but gets himself in a set of ridiculous situations (at some point there is a scene in which he gets trapped in a refrigerator); in the attempt to solve the mistery, they discover secret passageways and chambers of the mansion (one of them leads to a river used to transport dead bodies). That’s all the information I have (and I am not entirely certain of their accuracy – it’s been a long time since I’ve seen the movie). Any suggestions are much appreciated. Cheers!"	I am looking for a 1940s-1950s black and white movie that I have seen on TV a long time ago (15-20 years ago).	releaseDate // category // productionVisual	contextTemporal // contextPhysicalMedium				hedgingConfident	none	absolute			https://irememberthismovie.com/1950s-dark-comedy-inheritance-crime-mistaken-identity-detective/	https://en.wikipedia.org/wiki/Topper_Returns	http://www.imdb.com/title/tt0034303/?ref_=nv_sr_1
990-2	"I am looking for a 1940s-1950s black and white movie that I have seen on TV a long time ago (15-20 years ago). I think it was a dark comedy, with an opening scene featuring two women hitchhicking; one of them lifts her skirts and makes a car crash. They reach a mansion (which was about to be inherited by one of them), and spend the night. One of the women gets killed (the one inheriting the mansion was supposed to get killed, but because they changed rooms, the other one gets murdered). The ghost of the dead woman remains to haunt the house. A clumsy detective appears to solve the crime but gets himself in a set of ridiculous situations (at some point there is a scene in which he gets trapped in a refrigerator); in the attempt to solve the mistery, they discover secret passageways and chambers of the mansion (one of them leads to a river used to transport dead bodies). That’s all the information I have (and I am not entirely certain of their accuracy – it’s been a long time since I’ve seen the movie). Any suggestions are much appreciated. Cheers!"	"I think it was a dark comedy, with an opening scene featuring two women hitchhicking; one of them lifts her skirts and makes a car crash."	scene // character // genreTraditionalTone // object					hedgingConfident	none	absolute			https://irememberthismovie.com/1950s-dark-comedy-inheritance-crime-mistaken-identity-detective/	https://en.wikipedia.org/wiki/Topper_Returns	http://www.imdb.com/title/tt0034303/?ref_=nv_sr_1
990-3	"I am looking for a 1940s-1950s black and white movie that I have seen on TV a long time ago (15-20 years ago). I think it was a dark comedy, with an opening scene featuring two women hitchhicking; one of them lifts her skirts and makes a car crash. They reach a mansion (which was about to be inherited by one of them), and spend the night. One of the women gets killed (the one inheriting the mansion was supposed to get killed, but because they changed rooms, the other one gets murdered). The ghost of the dead woman remains to haunt the house. A clumsy detective appears to solve the crime but gets himself in a set of ridiculous situations (at some point there is a scene in which he gets trapped in a refrigerator); in the attempt to solve the mistery, they discover secret passageways and chambers of the mansion (one of them leads to a river used to transport dead bodies). That’s all the information I have (and I am not entirely certain of their accuracy – it’s been a long time since I’ve seen the movie). Any suggestions are much appreciated. Cheers!"	"They reach a mansion (which was about to be inherited by one of them), and spend the night."	scene // character // locationType					neutral	none	absolute			https://irememberthismovie.com/1950s-dark-comedy-inheritance-crime-mistaken-identity-detective/	https://en.wikipedia.org/wiki/Topper_Returns	http://www.imdb.com/title/tt0034303/?ref_=nv_sr_1
990-4	"I am looking for a 1940s-1950s black and white movie that I have seen on TV a long time ago (15-20 years ago). I think it was a dark comedy, with an opening scene featuring two women hitchhicking; one of them lifts her skirts and makes a car crash. They reach a mansion (which was about to be inherited by one of them), and spend the night. One of the women gets killed (the one inheriting the mansion was supposed to get killed, but because they changed rooms, the other one gets murdered). The ghost of the dead woman remains to haunt the house. A clumsy detective appears to solve the crime but gets himself in a set of ridiculous situations (at some point there is a scene in which he gets trapped in a refrigerator); in the attempt to solve the mistery, they discover secret passageways and chambers of the mansion (one of them leads to a river used to transport dead bodies). That’s all the information I have (and I am not entirely certain of their accuracy – it’s been a long time since I’ve seen the movie). Any suggestions are much appreciated. Cheers!"	"One of the women gets killed (the one inheriting the mansion was supposed to get killed, but because they changed rooms, the other one gets murdered)."	scene // character // locationType					neutral	none	absolute			https://irememberthismovie.com/1950s-dark-comedy-inheritance-crime-mistaken-identity-detective/	https://en.wikipedia.org/wiki/Topper_Returns	http://www.imdb.com/title/tt0034303/?ref_=nv_sr_1
990-5	"I am looking for a 1940s-1950s black and white movie that I have seen on TV a long time ago (15-20 years ago). I think it was a dark comedy, with an opening scene featuring two women hitchhicking; one of them lifts her skirts and makes a car crash. They reach a mansion (which was about to be inherited by one of them), and spend the night. One of the women gets killed (the one inheriting the mansion was supposed to get killed, but because they changed rooms, the other one gets murdered). The ghost of the dead woman remains to haunt the house. A clumsy detective appears to solve the crime but gets himself in a set of ridiculous situations (at some point there is a scene in which he gets trapped in a refrigerator); in the attempt to solve the mistery, they discover secret passageways and chambers of the mansion (one of them leads to a river used to transport dead bodies). That’s all the information I have (and I am not entirely certain of their accuracy – it’s been a long time since I’ve seen the movie). Any suggestions are much appreciated. Cheers!"	The ghost of the dead woman remains to haunt the house.	character // locationType					neutral	none	absolute			https://irememberthismovie.com/1950s-dark-comedy-inheritance-crime-mistaken-identity-detective/	https://en.wikipedia.org/wiki/Topper_Returns	http://www.imdb.com/title/tt0034303/?ref_=nv_sr_1
990-6	"I am looking for a 1940s-1950s black and white movie that I have seen on TV a long time ago (15-20 years ago). I think it was a dark comedy, with an opening scene featuring two women hitchhicking; one of them lifts her skirts and makes a car crash. They reach a mansion (which was about to be inherited by one of them), and spend the night. One of the women gets killed (the one inheriting the mansion was supposed to get killed, but because they changed rooms, the other one gets murdered). The ghost of the dead woman remains to haunt the house. A clumsy detective appears to solve the crime but gets himself in a set of ridiculous situations (at some point there is a scene in which he gets trapped in a refrigerator); in the attempt to solve the mistery, they discover secret passageways and chambers of the mansion (one of them leads to a river used to transport dead bodies). That’s all the information I have (and I am not entirely certain of their accuracy – it’s been a long time since I’ve seen the movie). Any suggestions are much appreciated. Cheers!"	"A clumsy detective appears to solve the crime but gets himself in a set of ridiculous situations (at some point there is a scene in which he gets trapped in a refrigerator); in the attempt to solve the mistery, they discover secret passageways and chambers of the mansion (one of them leads to a river used to transport dead bodies)."	plot // scene // character // locationType // object					neutral	none	absolute			https://irememberthismovie.com/1950s-dark-comedy-inheritance-crime-mistaken-identity-detective/	https://en.wikipedia.org/wiki/Topper_Returns	http://www.imdb.com/title/tt0034303/?ref_=nv_sr_1
990-7	"I am looking for a 1940s-1950s black and white movie that I have seen on TV a long time ago (15-20 years ago). I think it was a dark comedy, with an opening scene featuring two women hitchhicking; one of them lifts her skirts and makes a car crash. They reach a mansion (which was about to be inherited by one of them), and spend the night. One of the women gets killed (the one inheriting the mansion was supposed to get killed, but because they changed rooms, the other one gets murdered). The ghost of the dead woman remains to haunt the house. A clumsy detective appears to solve the crime but gets himself in a set of ridiculous situations (at some point there is a scene in which he gets trapped in a refrigerator); in the attempt to solve the mistery, they discover secret passageways and chambers of the mansion (one of them leads to a river used to transport dead bodies). That’s all the information I have (and I am not entirely certain of their accuracy – it’s been a long time since I’ve seen the movie). Any suggestions are much appreciated. Cheers!"	That’s all the information I have (and I am not entirely certain of their accuracy – it’s been a long time since I’ve seen the movie).	category					hedgingConfident	none	absolute			https://irememberthismovie.com/1950s-dark-comedy-inheritance-crime-mistaken-identity-detective/	https://en.wikipedia.org/wiki/Topper_Returns	http://www.imdb.com/title/tt0034303/?ref_=nv_sr_1
990-8	"I am looking for a 1940s-1950s black and white movie that I have seen on TV a long time ago (15-20 years ago). I think it was a dark comedy, with an opening scene featuring two women hitchhicking; one of them lifts her skirts and makes a car crash. They reach a mansion (which was about to be inherited by one of them), and spend the night. One of the women gets killed (the one inheriting the mansion was supposed to get killed, but because they changed rooms, the other one gets murdered). The ghost of the dead woman remains to haunt the house. A clumsy detective appears to solve the crime but gets himself in a set of ridiculous situations (at some point there is a scene in which he gets trapped in a refrigerator); in the attempt to solve the mistery, they discover secret passageways and chambers of the mansion (one of them leads to a river used to transport dead bodies). That’s all the information I have (and I am not entirely certain of their accuracy – it’s been a long time since I’ve seen the movie). Any suggestions are much appreciated. Cheers!"	Any suggestions are much appreciated.				TRUE							https://irememberthismovie.com/1950s-dark-comedy-inheritance-crime-mistaken-identity-detective/	https://en.wikipedia.org/wiki/Topper_Returns	http://www.imdb.com/title/tt0034303/?ref_=nv_sr_1
990-9	"I am looking for a 1940s-1950s black and white movie that I have seen on TV a long time ago (15-20 years ago). I think it was a dark comedy, with an opening scene featuring two women hitchhicking; one of them lifts her skirts and makes a car crash. They reach a mansion (which was about to be inherited by one of them), and spend the night. One of the women gets killed (the one inheriting the mansion was supposed to get killed, but because they changed rooms, the other one gets murdered). The ghost of the dead woman remains to haunt the house. A clumsy detective appears to solve the crime but gets himself in a set of ridiculous situations (at some point there is a scene in which he gets trapped in a refrigerator); in the attempt to solve the mistery, they discover secret passageways and chambers of the mansion (one of them leads to a river used to transport dead bodies). That’s all the information I have (and I am not entirely certain of their accuracy – it’s been a long time since I’ve seen the movie). Any suggestions are much appreciated. Cheers!"	Cheers!				TRUE							https://irememberthismovie.com/1950s-dark-comedy-inheritance-crime-mistaken-identity-detective/	https://en.wikipedia.org/wiki/Topper_Returns	http://www.imdb.com/title/tt0034303/?ref_=nv_sr_1
228-1	"I saw this presidential spoof movie on TCM about 6 years ago, most likely originally from the 70s. It was in color. I remember two scenes. In one scene the protagonist is on a house boat I think it was yellow. I believe he may have been choosing clothes at some point. I remember him talking to someone as he walked throughout the boat. In another scene I think he tries to reach out to hippies. He tries drugs and makes love in the grass with one maybe two women. I saw this on TV so nothing explicit, but I remember the humor being very dry and adult."	"I saw this presidential spoof movie on TCM about 6 years ago, most likely originally from the 70s."	genreTraditionalTone // releaseDate // category	contextTemporal // contextPhysicalMedium				hedgingConfident	none	absolute			https://irememberthismovie.com/1960s-70s-political-presidential-farce/	https://en.wikipedia.org/wiki/The_President%27s_Analyst#In_popular_culture	
228-2	"I saw this presidential spoof movie on TCM about 6 years ago, most likely originally from the 70s. It was in color. I remember two scenes. In one scene the protagonist is on a house boat I think it was yellow. I believe he may have been choosing clothes at some point. I remember him talking to someone as he walked throughout the boat. In another scene I think he tries to reach out to hippies. He tries drugs and makes love in the grass with one maybe two women. I saw this on TV so nothing explicit, but I remember the humor being very dry and adult."	It was in color.	productionVisual					neutral	none	absolute			https://irememberthismovie.com/1960s-70s-political-presidential-farce/	https://en.wikipedia.org/wiki/The_President%27s_Analyst#In_popular_culture	
228-3	"I saw this presidential spoof movie on TCM about 6 years ago, most likely originally from the 70s. It was in color. I remember two scenes. In one scene the protagonist is on a house boat I think it was yellow. I believe he may have been choosing clothes at some point. I remember him talking to someone as he walked throughout the boat. In another scene I think he tries to reach out to hippies. He tries drugs and makes love in the grass with one maybe two women. I saw this on TV so nothing explicit, but I remember the humor being very dry and adult."	I remember two scenes.				TRUE							https://irememberthismovie.com/1960s-70s-political-presidential-farce/	https://en.wikipedia.org/wiki/The_President%27s_Analyst#In_popular_culture	
228-4	"I saw this presidential spoof movie on TCM about 6 years ago, most likely originally from the 70s. It was in color. I remember two scenes. In one scene the protagonist is on a house boat I think it was yellow. I believe he may have been choosing clothes at some point. I remember him talking to someone as he walked throughout the boat. In another scene I think he tries to reach out to hippies. He tries drugs and makes love in the grass with one maybe two women. I saw this on TV so nothing explicit, but I remember the humor being very dry and adult."	In one scene the protagonist is on a house boat I think it was yellow.	scene // character // locationType					hedgingConfident	none	absolute			https://irememberthismovie.com/1960s-70s-political-presidential-farce/	https://en.wikipedia.org/wiki/The_President%27s_Analyst#In_popular_culture	
228-5	"I saw this presidential spoof movie on TCM about 6 years ago, most likely originally from the 70s. It was in color. I remember two scenes. In one scene the protagonist is on a house boat I think it was yellow. I believe he may have been choosing clothes at some point. I remember him talking to someone as he walked throughout the boat. In another scene I think he tries to reach out to hippies. He tries drugs and makes love in the grass with one maybe two women. I saw this on TV so nothing explicit, but I remember the humor being very dry and adult."	I believe he may have been choosing clothes at some point.	scene // character // object					neutral	none	absolute			https://irememberthismovie.com/1960s-70s-political-presidential-farce/	https://en.wikipedia.org/wiki/The_President%27s_Analyst#In_popular_culture	
